trade_id,instrument,trade_date,settlement_date,direction,quantity,price,currency,counterparty,status
1,AAPL,10-04-2026,12-04-2026,BUY,100,150,USD,JPM,SETTLED
2,MSFT,10-04-2026,12-04-2026,SELL,200,310.5,USD,GS,SETTLED
3,TSLA,10-04-2026,12-04-2026,BUY,50,200,USD,MS,PENDING
4,GOOGL,11-04-2026,13-04-2026,SELL,150,130,USD,CITI,SETTLED
5,AMZN,11-04-2026,13-04-2026,BUY,300,150.3,USD,JPM,SETTLED
6,META,11-04-2026,13-04-2026,SELL,400,280,USD,GS,PENDING
7,V,11-04-2026,13-04-2026,BUY,120,225.5,USD,MS,SETTLED
8,JNJ,12-04-2026,14-04-2026,SELL,80,165.2,USD,CITI,SETTLED
9,WMT,12-04-2026,14-04-2026,BUY,600,140,USD,JPM,PENDING
10,PG,12-04-2026,14-04-2026,SELL,250,152.3,USD,GS,SETTLED
11,MA,12-04-2026,14-04-2026,BUY,90,390,USD,MS,SETTLED
12,HD,13-04-2026,15-04-2026,SELL,100,295.4,USD,CITI,SETTLED
13,CVX,13-04-2026,15-04-2026,BUY,350,160,USD,JPM,PENDING
14,LLY,13-04-2026,15-04-2026,SELL,40,450,USD,GS,SETTLED
15,BAC,13-04-2026,15-04-2026,BUY,2000,28.5,USD,MS,SETTLED
16,PFE,14-04-2026,16-04-2026,SELL,800,38,USD,CITI,PENDING
17,KO,14-04-2026,16-04-2026,BUY,500,60.2,USD,JPM,SETTLED
18,PEP,14-04-2026,16-04-2026,SELL,300,180.5,USD,GS,PENDING
19,COST,14-04-2026,16-04-2026,BUY,50,550,USD,MS,SETTLED
20,TMO,14-04-2026,16-04-2026,SELL,100,520,USD,CITI,CANCELLED
21,MCD,14-04-2026,16-04-2026,BUY,150,285,USD,JPM,SETTLED
22,CSCO,14-04-2026,16-04-2026,SELL,600,50.1,USD,GS,PENDING
23,ABT,14-04-2026,16-04-2026,BUY,250,105,USD,MS,SETTLED
24,CRM,14-04-2026,16-04-2026,SELL,180,210,USD,CITI,SETTLED
25,DIS,14-04-2026,16-04-2026,BUY,400,25,USD,JPM,PENDING
26,LIN,15-04-2026,17-04-2026,SELL,70,380,USD,GS,SETTLED
27,ACN,15-04-2026,17-04-2026,BUY,110,315,USD,MS,SETTLED
28,TXN,15-04-2026,17-04-2026,SELL,220,170,USD,CITI,SETTLED
29,NKE,15-04-2026,17-04-2026,BUY,450,105,USD,JPM,PENDING
30,ADBE,15-04-2026,17-04-2026,SELL,90,500,USD,GS,SETTLED
31,PM,15-04-2026,17-04-2026,BUY,300,95,USD,MS,SETTLED
32,VZ,15-04-2026,17-04-2026,SELL,1200,35,USD,CITI,SETTLED
33,CMCSA,15-04-2026,17-04-2026,BUY,800,40,USD,JPM,SETTLED
34,NFLX,15-04-2026,17-04-2026,SELL,60,420,USD,GS,SETTLED
35,INTC,15-04-2026,17-04-2026,BUY,1500,32,USD,MS,SETTLED
36,AMD,15-04-2026,17-04-2026,SELL,400,110,USD,CITI,PENDING
37,QCOM,15-04-2026,17-04-2026,BUY,250,120,USD,JPM,SETTLED
38,IBM,15-04-2026,17-04-2026,SELL,150,140,USD,GS,SETTLED
39,HON,15-04-2026,17-04-2026,BUY,180,200,USD,MS,SETTLED
40,UNP,15-04-2026,17-04-2026,SELL,550,210,USD,CITI,SETTLED
41,BA,15-04-2026,17-04-2026,BUY,200,220,USD,JPM,PENDING
42,GE,15-04-2026,17-04-2026,SELL,700,110,USD,GS,SETTLED
43,CAT,15-04-2026,17-04-2026,BUY,120,260,USD,MS,SETTLED
44,RTX,15-04-2026,17-04-2026,SELL,350,85,USD,CITI,SETTLED
45,LMT,15-04-2026,17-04-2026,BUY,50,450,USD,JPM,PENDING
46,DE,15-04-2026,17-04-2026,SELL,90,400,USD,GS,SETTLED
47,MMM,15-04-2026,17-04-2026,BUY,220,105,USD,MS,PENDING
48,GS,15-04-2026,17-04-2026,SELL,140,310.1,USD,CITI,SETTLED
49,MS,15-04-2026,17-04-2026,BUY,300,85,USD,JPM,SETTLED
50,BLK,15-04-2026,17-04-2026,SELL,40,700,USD,GS,SETTLED
52,C,15-04-2026,17-04-2026,SELL,150,55,USD,MS,SETTLED
